iter	Passed	Remaining
0	9	9515
1	18	9394
2	27	9302
3	37	9317
4	47	9391
5	56	9394
6	67	9518
7	78	9677
8	87	9680
9	98	9711
10	107	9657
11	116	9631
12	127	9648
13	136	9606
14	146	9602
15	155	9541
16	165	9597
17	176	9619
18	187	9662
19	197	9684
20	207	9689
21	217	9671
22	227	9672
23	237	9653
24	247	9640
25	256	9609
26	266	9600
27	277	9617
28	287	9623
29	298	9636
30	307	9613
31	316	9575
32	327	9586
33	337	9583
34	346	9557
35	356	9540
36	366	9541
37	376	9543
38	387	9540
39	397	9531
40	407	9528
41	417	9524
42	428	9531
43	439	9541
44	448	9510
45	457	9490
46	467	9482
47	476	9455
48	486	9446
49	496	9430
50	505	9410
51	515	9402
52	526	9399
53	536	9393
54	545	9378
55	555	9371
56	565	9356
57	576	9364
58	586	9347
59	595	9329
60	605	9321
61	614	9297
62	624	9293
63	634	9283
64	644	9267
65	654	9259
66	665	9263
67	674	9244
68	684	9237
69	695	9237
70	704	9223
71	715	9225
72	725	9213
73	735	9201
74	744	9185
75	755	9183
76	765	9180
77	777	9184
78	787	9181
79	797	9169
80	807	9157
81	817	9151
82	826	9132
83	836	9122
84	846	9108
85	857	9108
86	867	9107
87	878	9102
88	890	9115
89	903	9132
90	918	9179
91	935	9230
92	947	9244
93	963	9281
94	974	9288
95	986	9287
96	996	9279
97	1008	9278
98	1017	9262
99	1027	9243
100	1036	9226
101	1046	9210
102	1055	9196
103	1067	9194
104	1077	9184
105	1087	9170
106	1097	9156
107	1106	9139
108	1116	9125
109	1125	9110
110	1135	9098
111	1145	9080
112	1154	9060
113	1164	9050
114	1174	9037
115	1184	9027
116	1193	9009
117	1203	8993
118	1212	8977
119	1221	8960
120	1231	8948
121	1240	8928
122	1250	8917
123	1261	8909
124	1271	8899
125	1281	8887
126	1290	8872
127	1301	8863
128	1311	8853
129	1320	8840
130	1330	8825
131	1340	8811
132	1349	8800
133	1359	8788
134	1369	8776
135	1379	8765
136	1389	8752
137	1399	8740
138	1409	8729
139	1419	8718
140	1429	8707
141	1438	8693
142	1447	8677
143	1458	8668
144	1472	8684
145	1481	8666
146	1490	8651
147	1500	8635
148	1510	8625
149	1520	8614
150	1529	8598
151	1539	8587
152	1548	8574
153	1559	8565
154	1568	8553
155	1578	8540
156	1587	8525
157	1597	8511
158	1607	8503
159	1616	8488
160	1627	8481
161	1638	8478
162	1649	8468
163	1661	8468
164	1672	8465
165	1682	8453
166	1693	8449
167	1703	8437
168	1713	8426
169	1723	8414
170	1733	8403
171	1742	8390
172	1753	8380
173	1762	8368
174	1772	8354
175	1781	8340
176	1792	8332
177	1802	8325
178	1813	8316
179	1822	8300
180	1831	8288
181	1841	8276
182	1851	8268
183	1861	8257
184	1871	8244
185	1880	8230
186	1889	8216
187	1900	8207
188	1910	8196
189	1920	8188
190	1930	8178
191	1940	8166
192	1951	8160
193	1961	8148
194	1971	8137
195	1980	8125
196	1991	8116
197	2001	8107
198	2011	8096
199	2021	8084
200	2031	8075
201	2041	8063
202	2051	8054
203	2061	8045
204	2072	8035
205	2081	8024
206	2091	8012
207	2102	8005
208	2112	7994
209	2122	7983
210	2132	7972
211	2142	7962
212	2151	7948
213	2161	7937
214	2170	7925
215	2180	7914
216	2190	7904
217	2200	7894
218	2210	7884
219	2220	7874
220	2230	7862
221	2241	7853
222	2250	7842
223	2260	7831
224	2270	7819
225	2280	7811
226	2289	7796
227	2300	7791
228	2310	7777
229	2319	7766
230	2330	7759
231	2341	7750
232	2351	7741
233	2362	7732
234	2372	7722
235	2382	7712
236	2392	7701
237	2402	7692
238	2412	7681
239	2422	7671
240	2432	7660
241	2442	7650
242	2451	7638
243	2462	7628
244	2471	7615
245	2481	7604
246	2491	7595
247	2501	7584
248	2511	7573
249	2520	7561
250	2530	7552
251	2540	7540
252	2550	7529
253	2559	7516
254	2568	7504
255	2577	7491
256	2587	7481
257	2598	7471
258	2607	7460
259	2618	7452
260	2628	7443
261	2640	7436
262	2649	7425
263	2661	7419
264	2671	7410
265	2681	7400
266	2691	7389
267	2701	7377
268	2710	7365
269	2720	7355
270	2730	7344
271	2740	7335
272	2750	7325
273	2760	7313
274	2769	7301
275	2780	7292
276	2791	7287
277	2801	7276
278	2811	7265
279	2820	7253
280	2831	7244
281	2842	7238
282	2852	7228
283	2862	7216
284	2872	7206
285	2882	7195
286	2891	7184
287	2901	7173
288	2911	7162
289	2921	7152
290	2930	7140
291	2941	7130
292	2950	7120
293	2959	7107
294	2969	7095
295	2978	7083
296	2987	7071
297	2997	7060
298	3006	7048
299	3016	7037
300	3025	7026
301	3035	7016
302	3045	7005
303	3055	6995
304	3065	6984
305	3074	6972
306	3084	6962
307	3095	6954
308	3105	6943
309	3115	6934
310	3125	6924
311	3134	6912
312	3146	6906
313	3157	6897
